unn_ds_fantasia;prl_ds_produto_lmc;bic_ds_referencia;agrupamento;vei_vl_quantidade;vei_vl_acrescimo;vei_vl_desconto;vei_vl_item;vei_vl_media
POSTO CARGA PESADA;ARLA;005;ARLA;5.308,043;0;126,4;19.990,78;3,766
POSTO CARGA PESADA;ARLA;010;ARLA;4.508,391;0;154,01;16.932,54;3,756
POSTO CARGA PESADA;ARLA;015;ARLA;5.989,052;0;176,66;22.521,52;3,76
POSTO CARGA PESADA;ARLA;020;ARLA;2.328,179;0;70,46;8.753,12;3,76
POSTO CARGA PESADA;ARLA;041;ARLA;4.031,203;0;109,9;15.168,13;3,763
POSTO CARGA PESADA;ARLA;046;ARLA;2.009,298;0;64,47;7.550,66;3,758
POSTO CARGA PESADA;ARLA;051;ARLA;3.048,974;0;53,81;11.501,67;3,772
POSTO CARGA PESADA;ARLA;056;ARLA;829,688;0;25,74;3.118,73;3,759
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;021;ETANOL HIDRATADO COMUM;27.941,168;2,4;0;128.359,61;4,594
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;022;ETANOL HIDRATADO COMUM;27.717,244;1;0;127.352,13;4,595
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;027;ETANOL HIDRATADO COMUM;23.845,792;11,52;0;109.566,15;4,595
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;028;ETANOL HIDRATADO COMUM;29.484,551;29,1;0;135.520,91;4,596
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;029;ETANOL HIDRATADO COMUM;29.839,42;2,5;0,7;137.080,3;4,594
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;032;ETANOL HIDRATADO COMUM;12.887,698;0;0;59.215,26;4,595
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;033;ETANOL HIDRATADO COMUM;31.320,295;22,5;0;143.957,41;4,596
POSTO CARGA PESADA;ETANOL HIDRATADO COMUM;036;ETANOL HIDRATADO COMUM;16.863,082;9,31;0;77.565,46;4,6
POSTO CARGA PESADA;GASOLINA C COMUM;023;GASOLINA C COMUM;34.543,12;64,83;1,92;212.705,17;6,158
POSTO CARGA PESADA;GASOLINA C COMUM;024;GASOLINA C COMUM;38.477,735;102,77;3,82;236.914,63;6,157
POSTO CARGA PESADA;GASOLINA C COMUM;025;GASOLINA C COMUM;28.967,372;104,86;15,55;178.452,14;6,16
POSTO CARGA PESADA;GASOLINA C COMUM;026;GASOLINA C COMUM;35.681,344;170,78;6,75;219.997,82;6,166
POSTO CARGA PESADA;GASOLINA C COMUM;030;GASOLINA C COMUM;11.435,9;119,87;2,58;70.455,75;6,161
POSTO CARGA PESADA;GASOLINA C COMUM;031;GASOLINA C COMUM;28.193,54;132;2,99;173.704,97;6,161
POSTO CARGA PESADA;GASOLINA C COMUM;034;GASOLINA C COMUM;21.666,129;170,26;5,65;133.654,84;6,169
POSTO CARGA PESADA;GASOLINA C COMUM;035;GASOLINA C COMUM;40.423,723;229,53;6,85;249.242,44;6,166
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;003;OLEO DIESEL B S10 COMUM;42.759,424;12,54;15.877,93;249.454,69;5,834
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;004;OLEO DIESEL B S10 COMUM;106.491,794;24,9;37.828,84;621.451,89;5,836
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;008;OLEO DIESEL B S10 COMUM;72.456,342;21,27;25.572,89;423.736,31;5,848
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;009;OLEO DIESEL B S10 COMUM;63.329,531;12,34;23.680,61;369.345,75;5,832
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;011;OLEO DIESEL B S10 COMUM;98.873,199;48,23;35.725,67;576.314,14;5,829
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;014;OLEO DIESEL B S10 COMUM;76.307,41;58,28;25.938,2;446.754,71;5,855
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;017;OLEO DIESEL B S10 COMUM;65.475,105;76,24;21.756,94;384.168,95;5,867
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;018;OLEO DIESEL B S10 COMUM;58.132,968;88,94;18.821,82;341.369,97;5,872
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;038;OLEO DIESEL B S10 COMUM;30.709,481;45,55;11.368,99;178.977,88;5,828
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;040;OLEO DIESEL B S10 COMUM;86.602,402;40,25;32.862,38;504.185,13;5,822
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;043;OLEO DIESEL B S10 COMUM;34.225,277;12,04;12.642,84;199.576,92;5,831
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;045;OLEO DIESEL B S10 COMUM;30.785,956;7,5;11.441,5;179.465,04;5,829
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;048;OLEO DIESEL B S10 COMUM;49.061,101;10,35;18.256,42;285.494,72;5,819
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;050;OLEO DIESEL B S10 COMUM;34.447,282;1,7;12.355,72;200.780,09;5,829
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;053;OLEO DIESEL B S10 COMUM;18.854,518;0;7.071,35;109.591,91;5,813
POSTO CARGA PESADA;OLEO DIESEL B S10 COMUM;055;OLEO DIESEL B S10 COMUM;5.236,286;0;2.100,71;30.311,88;5,789
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;001;OLEO DIESEL B S500 COMUM;56.050,496;61,37;19.969,58;321.288,65;5,732
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;002;OLEO DIESEL B S500 COMUM;28.146,922;69,79;9.642,93;162.373,54;5,769
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;006;OLEO DIESEL B S500 COMUM;35.027,037;9;13.146,48;200.453,55;5,723
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;007;OLEO DIESEL B S500 COMUM;38.125,674;2,45;14.274,75;218.438,1;5,729
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;012;OLEO DIESEL B S500 COMUM;43.596,106;24,75;15.583,03;250.046,71;5,736
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;013;OLEO DIESEL B S500 COMUM;52.487,215;11,51;19.198,06;300.927,63;5,733
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;016;OLEO DIESEL B S500 COMUM;36.479,513;71,92;12.357,91;210.322,56;5,765
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;019;OLEO DIESEL B S500 COMUM;39.122,047;86,1;13.530,92;225.215,11;5,757
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;037;OLEO DIESEL B S500 COMUM;18.651,691;31,04;6.032,74;107.742,98;5,777
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;039;OLEO DIESEL B S500 COMUM;38.691,038;0;14.376,43;221.383,4;5,722
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;042;OLEO DIESEL B S500 COMUM;12.514,035;10,04;4.577,43;71.919,1;5,747
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;044;OLEO DIESEL B S500 COMUM;16.617,12;31,67;5.996,55;95.462,41;5,745
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;047;OLEO DIESEL B S500 COMUM;22.336,389;17,67;7.799,36;128.345,64;5,746
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;049;OLEO DIESEL B S500 COMUM;17.655,022;3;6.404,55;101.179,15;5,731
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;052;OLEO DIESEL B S500 COMUM;5.358,733;3;1.948,15;30.676,53;5,725
POSTO CARGA PESADA;OLEO DIESEL B S500 COMUM;054;OLEO DIESEL B S500 COMUM;4.632,938;0;1.756,45;26.447,32;5,709